DATE,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
1/1/10,40.3,20.5,50.6,30.1,9.6,7,10.8,9.6
1/2/10,40.3,20.5,50.5,30,9.6,7,10.8,9.6
1/3/10,40.2,20.5,50.4,30,9.7,7,10.9,9.7
1/4/10,40.2,20.5,50.4,29.9,9.7,7.1,10.9,9.7
1/5/10,40.1,20.5,50.4,29.9,9.7,7.1,10.9,9.7
1/6/10,40.1,20.5,50.3,29.8,9.8,7,11,9.7
1/7/10,40.1,20.5,50.3,29.8,9.8,7,11,9.8
1/8/10,40,20.5,50.3,29.8,9.8,7,11,9.8
1/9/10,40,20.5,50.3,29.8,9.8,7,11,9.8
1/10/10,40,20.5,50.3,29.8,9.8,7.1,11.1,9.8
1/11/10,40.1,20.6,50.3,29.8,9.9,7.1,11.1,9.8
1/12/10,40.1,20.6,50.4,29.8,9.9,7.1,11.1,9.8
1/13/10,40.1,20.6,50.4,29.8,9.9,7.1,11.1,9.8
1/14/10,40.1,20.7,50.5,29.8,9.9,7.1,11.1,9.8
1/15/10,40.2,20.7,50.5,29.8,9.9,7.1,11.1,9.7
1/16/10,40.2,20.8,50.6,29.8,9.9,7.1,11.1,9.7
1/17/10,40.3,20.8,50.7,29.9,9.9,7.1,11.1,9.7
1/18/10,40.3,20.9,50.8,29.9,9.9,7.1,11.1,9.7
1/19/10,40.4,20.9,50.8,29.9,9.9,7.2,11.2,9.7
1/20/10,40.4,21,50.9,30,9.8,7.2,11.2,9.6
1/21/10,40.5,21,51,30,9.8,7.2,11.2,9.6
1/22/10,40.6,21.1,51.1,30,9.8,7.2,11.2,9.6
1/23/10,40.7,21.2,51.3,30.1,9.8,7.2,11.2,9.5
1/24/10,40.8,21.2,51.4,30.1,9.8,7.3,11.2,9.5
1/25/10,40.8,21.3,51.5,30.2,9.7,7.3,11.2,9.4
1/26/10,40.9,21.4,51.6,30.2,9.7,7.3,11.2,9.4
1/27/10,41,21.5,51.8,30.3,9.6,7.3,11.2,9.3
1/28/10,41.1,21.6,51.9,30.3,9.6,7.3,11.1,9.2
1/29/10,41.2,21.6,52,30.4,9.6,7.3,11.1,9.2
1/30/10,41.3,21.7,52.2,30.5,9.5,7.2,11.1,9.1
1/31/10,41.4,21.8,52.3,30.5,9.5,7.2,11,9.1
2/1/10,41.5,21.9,52.5,30.6,9.4,7.2,11,9
2/2/10,41.7,22,52.6,30.7,9.4,7.2,10.9,8.9
2/3/10,41.8,22.1,52.8,30.7,9.3,7.2,10.9,8.9
2/4/10,41.9,22.1,53,30.8,9.3,7.2,10.9,8.8
2/5/10,42,22.2,53.1,30.9,9.2,7.2,10.8,8.8
2/6/10,42.1,22.3,53.3,31,9.2,7.2,10.8,8.8
2/7/10,42.3,22.4,53.5,31.1,9.2,7.1,10.8,8.7
2/8/10,42.4,22.5,53.6,31.2,9.1,7.1,10.7,8.7
2/9/10,42.6,22.5,53.8,31.3,9.1,7.1,10.7,8.7
2/10/10,42.7,22.6,54,31.4,9.1,7.1,10.7,8.7
2/11/10,42.9,22.7,54.2,31.5,9.1,7.1,10.7,8.6
2/12/10,43,22.7,54.4,31.6,9,7.1,10.6,8.6
2/13/10,43.2,22.8,54.6,31.8,9,7,10.6,8.6
2/14/10,43.3,22.9,54.8,31.9,9,7,10.6,8.6
2/15/10,43.5,22.9,55,32,8.9,7,10.5,8.5
2/16/10,43.7,23,55.2,32.2,8.9,7,10.5,8.5
2/17/10,43.9,23,55.4,32.4,8.9,7.1,10.5,8.5
